French,English
chaque,each
terre,earth
place,place
tué,kill
type,kind
main,hand
pardon,pardon
ensemble,together
seulement,only
guerre,war
beau,beautiful
vers,towards
mme,mrs
prie,pray
devant,in front
trouve,find
partie,part
suite,following
compris,understood
matin,morning
leurs,their
aucun,none
arrivé,arrived
dessus,above
chérie,dear
mettre,put
aide,help
étaient,were
ie,ie
perdu,lost
fin,end
sois,be
premier,first
genre,gender
aimerais,would like to
droit,right
donne,given
attendez,wait
jeune,young
feu,fire
devrais,should
enfant,child
chambre,bedroom
gros,fat
côté,side
venu,came
loin,far
laisser,to leave 
donner,give
jouer,play
savais,knew
compte,account
s,s
parlé,speak
minutes,minutes
regardez,look
train,train
première,first
pouvoir,power
aura,will have
mourir,die
dernière,last
donné,given
ia,ia
mari,husband
écoute,listen
enfin,finally
devrait,should
mis,put
film,movie
aucune,none
fort,strong
façon,way
pays,country
prêt,ready
madame,mrs
femmes,women
affaire,affair
pourrais,could
espère,hope
parti,left
h,h
boulot,job
endroit,place
fou,mad
corps,body
hier,yesterday
dont,of which
désolée,sorry
grande,big
point,point
cinq,five
dehors,out
filles,girls
cause,cause
vivre,live
près,close
pensais,thought
garçon,boy
chef,chief
haut,high
capitaine,captain
dirait,would say
bébé,baby
celui,the one
demandé,request
possible,possible
mains,hands
ainsi,thus
quatre,four
nouvelle,new
années,years
plein,full
semaine,week
dites,say
croire,believe
marche,walk
tour,round
école,school
manger,eat
plutôt,instead
docteur,doctor
ceux,those
vérité,truth
vue,view
arrêter,stop
essaie,try
envie,envy
bientôt,soon
instant,moment
dernier,last
affaires,business
arriver,arrive
demander,ask
meilleur,best
font,make
derrière,behind
c,vs
dollars,dollars
presque,almost
dr,dr
tellement,such
tomber,to fall
journée,daytime
voulait,wanted to
appeler,to call
bureau,desk
confiance,trust
garde,guard
attendre,to wait for
numéro,number
serai,will be
dur,hard
á,has
souviens,remember
o,o
voyez,see
cours,course
bonsoir,good evening
route,road
fera,will
prend,takes
cul,ass
abord,on board
important,important
peine,penalty
croyais,believed
mot,word
devez,have to
suffit,enough
minute,minute
ferme,farm
ben,ben
plaisir,pleasure
chien,dog
jeu,game
seigneur,lord
messieurs,gentlemen
calme,calm
voudrais,would like
heureux,happy
prenez,take
mariage,marriage
voit,sees
parents,parents
lls,lls
dedans,inside
entrer,enter
lit,bed
parfait,perfect
fous,crazy
mlle,miss
rentrer,to return
ait,has
musique,music
arrêtez,stop
autant,as much
service,service
reviens,come back
ceci,this
drôle,funny
attend,waits
parfois,sometimes
téléphone,phone
retour,back
ira,will go
e,e
pauvre,poor
verre,glass
général,general
new,new
six,six
pensé,think
l,l
impossible,impossible
fête,party
adore,adore
coeur,heart
aimes,likes
ci,this
ferai,will do
président,president
doute,doubt
facile,easy
entends,hear
payer,pay
appelé,called
prison,prison
john,john
sors,go outside
café,coffee
vaut,worth
mauvais,bad
chéri,dear
oublié,forget
bras,arm
i,i
gentil,kind
faute,mistake
équipe,team
exactement,exactly
cœur,heart
penser,think
changer,to change
commence,begin
lieu,place
entendre,hear
ies,ies
roi,king
plan,plan
partout,everywhere
joue,plays
cher,dear
morts,dead
rendre,give back
écrit,writing
travailler,to work
malade,sick
sinon,otherwise
génial,awesome
regarder,look
veulent,want
montrer,to show
rentre,go home
travaille,work
armée,army
voulu,desired
cherche,look for
état,state
boire,drink
sécurité,security
dès,of the
esprit,spirit
année,year
dix,ten
york,york
laissé,leave alone
bois,drink
mets,put
propre,own
soyez,be
jack,jack
essayer,to try
faisait,did
tôt,early
surtout,above all
arme,armed
t,t
rêve,dream
perdre,lose
avis,notice
semble,seems
pire,worse 
simple,simple
penses,thinking
parles,talk
paix,peace
livre,book
dormir,sleep
voyons,let's see
difficile,difficult
retard,delay
allait,was going to
d,d
sujet,subject
appris,learned
ensuite,next
sauf,except
maître,master
morte,dead
noir,black
or,gold
dîner,dinner
choix,choice
serais,would be
écoute,listen
sale,dirty
étiez,have been
sûrement,certainly
an,year
ordre,order
souvent,often
essayé,try
peuvent,can
visage,face
bout,end 
changé,exchange
sérieux,serious
inquiète,worry
âge,age
photo,photo
rue,street
tirer,to pull
comprendre,to understand
face,face
semaines,weeks
marché,walk
questions,questions
honneur,honor
ciel,sky
allé,go
garder,keep
chemin,path
grave,severe
gauche,left
petits,small
courant,fluent
amie,friend
nouvelles,news
avion,plane
con,stupid
content,thrilled
force,strength
millions,millions
oublie,forget
devoir,duty
prochaine,next
prix,price
propos,about
bateau,boat
bouge,move
voix,voice
rouge,red
restez,stay
celle,that
pouvais,could
personnes,people
ferais,would do
début,beginning
espèce,species
gueule,mouth
acheter,buy
continue,keep on going
sort,spell
faim,hunger
long,long
j,j
voyage,journey
message,message
sorte,sort
reçu,received
bienvenue,welcome
idiot,silly
certains,some
hôpital,hospital
promis,promised
devenir,become
ouvre,open
grâce,grace
sûre,safe
problèmes,problems
armes,weapons
trucs,stuff
camp,camp
allais,alla
occupe,busy
devait,was to
manque,lack
connaissez,know
thé,tea
avaient,had
cheveux,hair
soleil,sun
salle,room
gagner,earn
laissez,leave
erreur,error
cru,believed
pars,pars
bizarre,weird
croyez,believe
sac,bag
hôtel,hotel
oncle,uncle
pièce,piece
pouvait,could
fond,bottom
soirée,evening
secret,secret
patron,boss
rapport,report
apprendre,learn
commencé,begin
sauver,save
seconde,second
pensez,think
allô,hello
ailleurs,elsewhere
agent,agent
froid,cold
seras,will be
pied,foot
jolie,pretty
revenir,to come back
scène,scene
pieds,feet
n,not
devons,owe
groupe,band
carte,map 
aurai,will have
effet,effect
neuf,nine
fallait,had to
monte,mounted
battre,beat
noël,christmas
venue,coming
mots,words
tire,drawn
droite,right
libre,free
soeur,sister
situation,situation
seront,will be
faux,fake
bordel,mess
foutre,cum
lumière,light
euh,uh
incroyable,amazing
tue,kill
joli,pretty
connaît,know
debout,standing
colonel,colonel
cheval,horse
écoutez,listen
george,george
joe,joe
vieille,old
entrez,come in
intérieur,interior
coin,corner
auras,aura
gagné,won
fric,money
loi,law
absolument,absolutely
dame,lady
cool,cool
magnifique,magnificent
dos,back
occuper,to occupy
présent,here
retrouver,find
réussi,successful
frank,frank
rencontrer,meet
aviez,had
meilleure,best
âme,soul
prêts,loans
doucement,gently
table,table
lettre,letter
rappelle,remember
sam,sat
fut,was
risque,risk
ordres,orders
appel,call
commencer,to start
terminé,finished
agit,act
blanc,white
sœur,sister
pareil,the same
charlie,charlie
chaud,hot
finir,finish
touche,touch
avance,advance
ignore,ignore
meurtre,murder
tranquille,calm
anniversaire,birthday
déjeuner,lunch
disais,said
bord,edge
tom,tom
jeunes,youth
accident,accident
parlez,speak
fasse,do
complètement,completely
déteste,hated
clair,clear
marcher,to walk
disait,said
mauvaise,bad
envoyé,sent
â,has
professeur,teacher
heureuse,happy
doivent,must
midi,noon
lire,read
moyen,average
ferait,would do
commandant,commanding officer
vraie,real
sept,seven
forme,shape
tombe,fall
silence,silence
sortez,get out
connaître,to know
puisse,may
cadeau,gift
flics,cops
mer,sea
médecin,doctor
exact,exact
décidé,decided
moitié,half
surprise,surprise
avocat,lawyer
montre,watch
b,b
su,on
porter,to carry
télé,tv
vivant,alive
jure,sworn
disent,say
mr,mr
serez,will be
devriez,should
devenu,became
aimé,love
diable,devil
ligne,line
mission,assignment
suppose,assumed
chacun,each
autour,around
pote,pal
grosse,fat
expliquer,explain
arrivée,arrival
monter,to go up
balle,ball
selon,according to
photos,pictures
contrôle,control
prête,ready
anglais,english
sorti,got out
k,k
bons,good
disparu,disappeared
tenir,hold
simplement,simply
quitter,to leave
envoie,send
paul,paul
aimer,to like
voie,way
paris,paris
classe,class
huit,eight
offre,offer
poste,job
dangereux,dangerous
attaque,attack
impression,impression
folle,crazy
michael,michael
mange,eat
bravo,well done
arrière,back
amérique,america
suivre,follow
aille,go
oublier,forget
peuple,people
baiser,kiss
rencontré,encounter
honte,shame
connard,asshole
trou,hole
retourner,return
chanson,song
change,exchange
arrêté,stopped
enfer,hell
écrire,to write
livres,books
habitude,habit
réponse,answer
david,david
lieutenant,lieutenant
savait,knew
radio,radio
tenez,hold
bande,band
bob,bob
rend,renders
compagnie,company
connu,known
secours,rescue
danse,dance
met,put
vol,flight
vit,lives
conneries,bullshit
aurez,will have
imagine,conceived
boîte,box
joué,plays
triste,sad
sud,south
lu,read
tel,such
merveilleux,wonderful
pute,whore
aie,ouch
ressemble,looks like
coucher,to sleep
ennuis,troubles
volé,stolen
sortie,exit
devais,had to
combat,fight
bouche,mouth
certain,certain
visite,visit
existe,exist
bête,beast
retourne,return
approche,approach
pourtant,yet
plusieurs,several
rire,laugh
but,aim
sergent,sergeant
public,audience
